uri,id,name,owner,total
spotify:playlist:3mULKDjh5TMcRyWttcbUSr,3mULKDjh5TMcRyWttcbUSr,cerebral.swings,Jordan Shand,55
spotify:playlist:5YwXvADzHyvQg7kdU2pUlk,5YwXvADzHyvQg7kdU2pUlk,the.great.escape,Jordan Shand,58
spotify:playlist:5Ia5N9SEzsD8EpIn3uTGao,5Ia5N9SEzsD8EpIn3uTGao,float,Jordan Shand,38
spotify:playlist:3ulQmvU4UOmoudv6qmbTOx,3ulQmvU4UOmoudv6qmbTOx,indiboi,Jordan Shand,47
spotify:playlist:44fGREdWQSityLpDY7zfDY,44fGREdWQSityLpDY7zfDY,goonies,Jordan Shand,74
spotify:playlist:7kZDPYvWblw6mRrvjiqW8M,7kZDPYvWblw6mRrvjiqW8M,pretty.boy.summer,Jordan Shand,32
spotify:playlist:5aZtrIfWZhk6YAsfTq5Hoj,5aZtrIfWZhk6YAsfTq5Hoj,sak.pase,Jordan Shand,28
spotify:playlist:4ZwgWVbARsH5Yftsf9Wkzr,4ZwgWVbARsH5Yftsf9Wkzr,biking,Jordan Shand,28
spotify:playlist:08Z6mWm8O4cI3O60wKg8AJ,08Z6mWm8O4cI3O60wKg8AJ,get.lost,Jordan Shand,57
spotify:playlist:3DjC0urzKkZzfVw2ydQ4ea,3DjC0urzKkZzfVw2ydQ4ea,gulf,Jordan Shand,11
spotify:playlist:4uX3EXTKZOc8l3grKFQEAh,4uX3EXTKZOc8l3grKFQEAh,para.mi.cabróns,Jordan Shand,64
spotify:playlist:5ZrTy4Dx9h9ptXbmAZ3ENJ,5ZrTy4Dx9h9ptXbmAZ3ENJ,lounge,Jordan Shand,41
spotify:playlist:3GYX9MCXllSqg6MRgCByDh,3GYX9MCXllSqg6MRgCByDh,samples,Jordan Shand,46
spotify:playlist:6e910x1vMToRNxfUpMJhEJ,6e910x1vMToRNxfUpMJhEJ,coopbumps,Jordan Shand,25
spotify:playlist:5FozDSwkIxZPp2C2bma02T,5FozDSwkIxZPp2C2bma02T,RAP & Religion,Jordan Shand,120
spotify:playlist:6VPPy9Nh9yINRklGrX0URO,6VPPy9Nh9yINRklGrX0URO,newdirect,Jordan Shand,116
spotify:playlist:4y2fqXATxf1P95Zj1qXidk,4y2fqXATxf1P95Zj1qXidk,goodtime,Jordan Shand,61
spotify:playlist:10JH07Eq1QXJp0DHWxYNn2,10JH07Eq1QXJp0DHWxYNn2,baby.cakes ,Jordan Shand,68
spotify:playlist:4a8sXuQqJbxJQYgdPnbO7b,4a8sXuQqJbxJQYgdPnbO7b,stayforaday,Jordan Shand,35
spotify:playlist:254JlRRJOTxn7hRyCYBPq4,254JlRRJOTxn7hRyCYBPq4,rentacar,Jordan Shand,68
spotify:playlist:4aQpBHYNvQm9Ne9gE2xdSE,4aQpBHYNvQm9Ne9gE2xdSE,dongshots,Jordan Shand,58
spotify:playlist:042IBpqSgLleRGQRyTvkkO,042IBpqSgLleRGQRyTvkkO,vibefindy,Jordan Shand,62
spotify:playlist:7L9lchjcI4ZvVPcoa1JniV,7L9lchjcI4ZvVPcoa1JniV,enjoyurstay,Jordan Shand,136
spotify:playlist:59mSZIqGLVq9p6OvSuo4QD,59mSZIqGLVq9p6OvSuo4QD,thugger.puppy,Jordan Shand,95
spotify:playlist:78axx9XnoGbd09hTfez2Ih,78axx9XnoGbd09hTfez2Ih,neverstop ,Jordan Shand,80
spotify:playlist:7tKeZlXX8CFCwDo0IS1Tzo,7tKeZlXX8CFCwDo0IS1Tzo,demontime ,Jordan Shand,172
spotify:playlist:0c0GNmgBcgwzY7LOW6qnxX,0c0GNmgBcgwzY7LOW6qnxX,boystime,Jordan Shand,114
spotify:playlist:4LdNBrcF9hgmVHCWCnSxxX,4LdNBrcF9hgmVHCWCnSxxX,goyard,Jordan Shand,142
spotify:playlist:479C9WolzQieqM3meVOMax,479C9WolzQieqM3meVOMax,switchup,Jordan Shand,145
spotify:playlist:4kpFmazGFAl5aPdWW5RHtj,4kpFmazGFAl5aPdWW5RHtj,hardhitters,Jordan Shand,144
spotify:playlist:1DTxUCPLDd1hsv0pRMTCEm,1DTxUCPLDd1hsv0pRMTCEm,whipchange,Jordan Shand,170
spotify:playlist:22cdoYooO3VXuhaKGTVueU,22cdoYooO3VXuhaKGTVueU,Traplist,Jordan Shand,66
spotify:playlist:5Oz0g1uQhe4TBP79LGLvLV,5Oz0g1uQhe4TBP79LGLvLV,SophSzn,Jordan Shand,112
spotify:playlist:5J5NaRsDTx7tykRrA3ERR3,5J5NaRsDTx7tykRrA3ERR3,slap,Jordan Shand,53
spotify:playlist:79tpKvlBDs2NT2n9Zwsu84,79tpKvlBDs2NT2n9Zwsu84,bustback,Jordan Shand,38
spotify:playlist:0qYsJdBFoJV7Hf1jJukNpf,0qYsJdBFoJV7Hf1jJukNpf,eightguys,Jordan Shand,23
spotify:playlist:50QxXMTWZEmLj5pLKevYiv,50QxXMTWZEmLj5pLKevYiv,work,Jordan Shand,70
spotify:playlist:0ro8AQVfVBPBrvwyI1fR2C,0ro8AQVfVBPBrvwyI1fR2C,oldheadmotel,Jordan Shand,26
spotify:playlist:6dPgkaCiskZvT0dNtfY7r5,6dPgkaCiskZvT0dNtfY7r5,retro,Jordan Shand,53
spotify:playlist:69qJalbz53m03KAuEPcnbY,69qJalbz53m03KAuEPcnbY,sadthug 😔,Jordan Shand,9
spotify:playlist:0EPTTcYZhKnj1y3SKo4OuV,0EPTTcYZhKnj1y3SKo4OuV,sadboyhours,Jordan Shand,38
spotify:playlist:7cmryeqK3ftJ4L6IzobBax,7cmryeqK3ftJ4L6IzobBax,M255_List_of_40,rich6833spot,40
spotify:playlist:0mR4VEPrI6YSnEeiMvFP59,0mR4VEPrI6YSnEeiMvFP59,MUSC255:Neo_Tokyo,Jordan Shand,10
spotify:playlist:1QaBNtgCIzTDoXMjz3EfDM,1QaBNtgCIzTDoXMjz3EfDM,MUSC255:Lonely_Loner,Jordan Shand,10
spotify:playlist:7I076Vit9Fd65C9fVNlPy0,7I076Vit9Fd65C9fVNlPy0,MUSC255:GenZ_UK_Rap,Jordan Shand,10
spotify:playlist:0QZa8PuiIKpSRDXFcbc2y2,0QZa8PuiIKpSRDXFcbc2y2,MUSC255: Subset_of_40,Jordan Shand,10
spotify:playlist:1HgXsC4lpjwzAchxNHci78,1HgXsC4lpjwzAchxNHci78,MUSC255: Listening Journal ,Jordan Shand,6
spotify:playlist:54DQhHIgZxLXvzeCGCbizM,54DQhHIgZxLXvzeCGCbizM,House Party Aux 2024 🏠🍻,Off The Wall,90
spotify:playlist:6BSoBVdgr9ZMeiD4VgQDy0,6BSoBVdgr9ZMeiD4VgQDy0,Testing,Jordan Shand,9
spotify:playlist:10o3VFFHwIbNYwZEZAYHqm,10o3VFFHwIbNYwZEZAYHqm,last.dance,Jordan Shand,27
spotify:playlist:37i9dQZF1DWSTeI2WWFaia,37i9dQZF1DWSTeI2WWFaia,Spilled Ink,Spotify,50
spotify:playlist:37i9dQZF1DXayr1BrK1OaY,37i9dQZF1DXayr1BrK1OaY,crying on the dance floor,Spotify,100
spotify:playlist:37i9dQZF1DWSfMe9z89s9B,37i9dQZF1DWSfMe9z89s9B,Vanguard,Spotify,150
spotify:playlist:6xNQb9FGJOgVJ2d03fBtMf,6xNQb9FGJOgVJ2d03fBtMf,mornin’ daze,rapisreligion,275
spotify:playlist:37i9dQZF1DX8OR0U4UGusN,37i9dQZF1DX8OR0U4UGusN,omw,Spotify,61
spotify:playlist:37i9dQZF1DX4Vd1jJ7X9H8,37i9dQZF1DX4Vd1jJ7X9H8,Soirée,Spotify,50
spotify:playlist:37i9dQZF1DWWVULl5wUsL9,37i9dQZF1DWWVULl5wUsL9,Gemini,Spotify,50
spotify:playlist:37i9dQZF1DXcbAIldMQMIs,37i9dQZF1DXcbAIldMQMIs,text me back,Spotify,70
spotify:playlist:37i9dQZF1EQnJyHBkXpASl,37i9dQZF1EQnJyHBkXpASl,Funk Mix,Spotify,50
spotify:playlist:37i9dQZF1EQqkOPvHGajmW,37i9dQZF1EQqkOPvHGajmW,Indie Mix,Spotify,50
spotify:playlist:0du7qiptLL0y79Smq24Fak,0du7qiptLL0y79Smq24Fak,3LAU Remixes,3LAU,12
spotify:playlist:37i9dQZF1DX0MLFaUdXnjA,37i9dQZF1DX0MLFaUdXnjA,Chill Pop,Spotify,100
spotify:playlist:25tge5QXHGhRnhYdKyaUAC,25tge5QXHGhRnhYdKyaUAC,remixes,Jordan Shand,37
spotify:playlist:4C1NvtVVqG09uoYfUFUNI3,4C1NvtVVqG09uoYfUFUNI3,🧑🏻‍🎄20-Claus🎅🏻,Jordan Shand,11
